SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'12000017,LEMON FRUIT,มะนาวแป้น(ผิวสวยๆ),PCS,,,0,,,,N,0,,
'12010023,CUCUMBER LARGE,แตงกวาใหญ่,KG,,,0,,,,N,0,,
'12010064,RADICHIO,เรดิชิโอ้,KG,,,0,,,,N,0,,
'12010082,WHITE LETTUCE,กาดขาว,KG,,,0,,,,N,0,,
'12010136,JAPANESE PUMPKIN,ฟักทองญี่ปุ่น,KG,,,0,,,,N,0,,
'12010156,TOMATO RED CHERRY,มะเขือเทศเชอรี่สีแดง,KG,,,0,,,,N,0,,
'12010157,TOU MEAU 200 G.,ต้นอ่อนโต้วเหมี่ยว 200ก.,PACK,,,0,,,,N,0,,
'12010010,CARROT,แครอท,KG,,,24,,,,N,0,,
'12010057,ONION LARGE,หอมใหญ่,KG,,,36,,,,N,0,,
'12010060,POTATO LARGE,มันฝรั่งใหญ่,KG,,,39,,,,N,0,,
'12010090,SHALLOT,หอมแดงไทย,KG,,,40,,,,N,0,,
'12010120,BABY POTATO,เบบี้โปเต้โต้,KG,,,42,,,,N,0,,
'12010114,CABBAGE  WHITE,กะหล่ำปลีขาว,KG,,,45,,,,N,0,,
'12010105,SHALLOT (CUT),หอมแดงพม่า(แกะ),KG,,,48,,,,N,0,,
'12010103,RED CABBAGE,กะหล่ำม่วง,KG,,,55,,,,N,0,,
'12010041,LETTUCE GREEN,กาดหอมสีเขียว,KG,,,62,,,,N,0,,
'12010122,BEETROOT,บีทรูท,KG,,,62,,,,N,0,,
'12010077,TOMATO RED,มะเขือเทศท้อ,KG,,,65,,,,N,0,,
'12000018,LEMON FRUIT BIG ( NO SEED ),มะนาวใหญ่ไร้เม็ด,KG,,,75,,,,N,0,,
'12010011,CELERY IMPORT,คื่นช่ายฝรั่ง,SET,,,75,,,,N,0,,
'12010092,BROCCOLI,บล็อคโคลี่,KG,,,75,,,,N,0,,
'12010093,CAULIFIOWER EXPORT,ดอกกะหล่ำนอก,KG,,,75,,,,N,0,,
'12010094,CAULIFLOWER,ดอกกะหล่ำใน,KG,,,75,,,,N,0,,
'12010132,GARLIC LARGE,กระเทียมใหญ่,KG,,,75,,,,N,0,,
'12010068,ROMAIN COS CHINESE,โรแมนคอส,KG,,,79,,,,N,0,,
'12010096,EGGPLANT PURPLE,มะเขือม่วงกลม,KG,,,79,,,,N,0,,
'12010042,LETTUCE ICEBERG,กาดแก้ว,KG,,,80,,,,N,0,,
'12010151,RED RADISH,เรดิช,KG,,,80,,,,N,0,,
'12010115,CUCUMBER JAPANESE,แตงกวาญี่ปุ่น,KG,,,85,,,,N,0,,
'12010085,ZUCHINI,ซูกินีเขียว,KG,,,88,,,,N,0,,
'12010076,TOMATO QUEEN,มะเขือเทศราชินี,KG,,,89,,,,N,0,,
'12000039,LEMON YELLOW BIG,มะนาวเหลือง,KG,,,90,,,,N,0,,
'12010006,BELL PEPPER GREEN,พริกยักษ์เขียว,KG,,,114,,,,N,0,,
'12010098,GARLIC LARGE & TO LEVER OUT,กระเทียมใหญ่(แกะ),KG,,,118,,,,N,0,,
'12010033,GREEN OAK 0.5 KG.,กรีนโอ๊ด 0.5 กก.,KG,,,119,,,,N,0,,
'12010066,RED OAK 0.5 KG.,เรดโอ๊ด 0.5 กก.,KG,,,119,,,,N,0,,
'12010007,BELL PEPPER RED,พริกยักษ์แดง,KG,,,128,,,,N,0,,
'12010008,BELL PEPPER YELLOW,พริกยักษ์เหลือง,KG,,,128,,,,N,0,,
'12010039,LEEK ( TON KRA THIAM ),ต้นกระเทียม,KG,,,130,,,,N,0,,
'12010097,FRILLICE ICEBERG,ฟิลเลย์ไอซ์เบิร์ก,KG,,,130,,,,N,0,,
'12010065,RED CORAL,เรดโครอล,KG,,,135,,,,N,0,,
'12010124,BUTTER HEAD,บัตเตอร์เฮด,KG,,,135,,,,N,0,,
'12010118,BABY CARROT,เบบี้เเครอท,KG,,,145,,,,N,0,,
'12010072,SWEET PEA /KG,ถั่วลันเตาหวาน/กก.,KG,,,159,,,,N,0,,
'12010102,PARSLEY FRENCH,ผักชีฝรั่ง/พาสเลย์,KG,,,179,,,,N,0,,
'12010154,SUNFLOWER SPROUTS 500 G. (208299),ต้นอ่อนทานตะวัน 500ก.(208299),KG,,,180,,,,N,0,,
'12010099,ITALIAN BASIL,โหระพาอิตาเลียน,KG,,,219,,,,N,0,,
'12010152,ROCKET,ร็อกเก็ต,KG,,,229,,,,N,0,,
'15020002,PAPAYA DRY,มะละกออบแห้ง,KG,,,230,,,,N,0,,
'15020006,DRY PINEAPPLE,สัปปะรดอบแห้ง,KG,,,230,,,,N,0,,
'15020005,DRY MANGO,มะม่วงอบแห้ง,KG,,,240,,,,N,0,,
'15020007,DRY KIWI,กีวี่อบแห้ง,KG,,,400,,,,N,0,,
'12010130,FRESH THYME LEAF (26260),ใบไทม์สด(26260),KG,,,420,,,,N,0,,
