SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'32000001,ART JET GOLD#LAVENDER 600 ML.(1*3)/812957,สเปรย์อาทกำจัดเเมลงสาบ-โกลด์กลิ่นลาเวนเดอร์ 600 มล.(1*3)/812957,Pack,,,,,,,A,7,,
'32000004,DUST PAN W / HDL,ที่โกยขยะมีด้ามจับยาวสีดำ,PCS,,,,,,,A,7,,
'32000014,RUBBER GLOVE ORANGE SIZE M(PAIR),ถุงมือยางสีส้ม(หนา)ไซด์เอ็ม(คู่),PAIR,,,,,,,A,7,,
'32000016,SAFE FIRE ALCOHOL JEL 15 KG.,แอลกอฮอล์เจลอุ่นอาหาร 15 กก.,TANK,,,,,,,A,7,,
'32000017,"SCOTH BRITE GREEN#96 3M 6*9""(1*10)/PACK","สก็อตไบร์สีเขียว 6*9""(1*10)/แพ็ค",PACK,,,,,,,A,7,,
'32000018,SCOTH BRITE STEEl 3M 10G.(1*12)/PACK,ฝอยเหล็กสแตนเลสยี่ห้อ 3M 10ก.(1*12)/แพ็ค,PACK,,,,,,,A,7,,
'32000019,SOFT BROOM (ด้ามมัดลวด),ไม้กวาดดอกอ้อ(ด้ามมัดลวด),PCS,,,,,,,A,7,,
'32000020,SOFT BROOM(BAMBOO HANDLE),ไม้กวาดดอกอ้อด้ามไม้ไผ่,PCS,,,,,,,A,7,,
'32000021,"SPARE MOP WET 10""",อะไหล่ผ้าม๊อบพื้นแบบเปียก 10 นิ้ว,PCS,,,,,,,A,7,,
'32000022,"SPONG WITH SCOTH BRITE-3M 3*4""(1*10)/PACK","ฟองน้ำใยขัดสองประสงค์ยี่ห้อสก๊อตซ์ไบร์ต 3*4""(1*10)",PACK,,,,,,,A,7,,
'32000023,SUN LIGHT 20 L.( 8851932042116 ),น้ำยาล้างจาน ซันไลต์ 20 ลิตร,GAL,,,,,,,A,7,,
'32000024,SUN LIGHT-REFILL 3600 ML.,น้ำยาล้างจาน(แบบเติม)ซันไลต์ 3600 มล.,GAL,,,,,,,A,7,,
'32000028,ที่ปั้มห้องน้ำ,ที่ปั้มห้องน้ำ,PCS,,,,,,,A,7,,
'32000032,NILON BRUSH HANDLE IRON,แปลงขัดห้องน้ำหลังเตารีด,PCS,,,,,,,A,7,,
'32000033,"SCOTCH-BRITE 3M GREEN NO.96 SIZE 4.5*6""(1*10)","แผ่นใยขัดสีเขียว 3M#96 ขนาด 4.5*6""(1*10)/212259",PACK,,,,,,,A,7,,
'32000034,"WIPER WITH LONG HANDLE - 24""",ไม้ปาดน้ำด้ามยาวหน้ากว้างขนาด 24 นิ้ว,SET,,,,,,,A,7,,
'32000035,RUBBER BIG,ยางวงใหญ่,PACK,,,,,,,A,7,,
'32000036,"SCOTH BRITE 3M WHITENo.9030 SIZE 4 x 5""(1*10)",สก็อตไบร์สีขาวยี่ห้อ 3M ขนาด 4 x 5 (1 x 10),PACK,,,,,,,A,7,,
'32000039,ATTACK 1600G(106057),ผงซักฟอก ยี่ห้อแอทแทค 1600ก.(106057),BAG,,,,,,,A,7,,
'32000040,DETERGENT 25KG.SAVEPACK(100570),ผงซักฟอก 25 กก.ตราเซพแพ็ค(100570),TANK,,,,,,,A,7,,
'32000041,HYTER BLUE COLOUR  2500 ML.(119756),ไฮเตอร์สีฟ้าขนาด 2500 มล.(119756),BTL,,,,,,,A,7,,
'32000042,น้ำยาล้างห้องน้ำ เป็ดโปรสีม่วง 3500ML (763581),น้ำยาล้างห้องน้ำ เป็ดโปรสีม่วง 3500ML (763581),GAL,,,,,,,A,7,,
'32000043,CLEANER MAGICLEAN FLOOR 1800ML.(134087),น้ำยาถูพื้น(กลิ่นลาเวนเดอร์) ยี่ห้อมาจิคลีน 1800มล.,BTL,,,,,,,A,7,,
'32000044,BRUSH DUSTER SHORT 40-45 CM.,ไม้ปัดฝุ่นขนไก่แบบสั้น 40-45 ซม.,PCS,,,,,,,A,7,,
'32000046,น้ำยาเช็ดกระจก(สีฟ้า)ยี่ห้อ MR.MUSCLE 520 มล.,น้ำยาเช็ดกระจก(สีฟ้า)ยี่ห้อ MR.MUSCLE 520 มล.,BTL,,,,,,,A,7,,
'32000049,SOFTENER FINELINE 20L.(8851989030937),น้ำยาปรับผ้านุ่ม ไฟน์ไลน์ชมพูเข้ม 20ล.(8851989030937),GAL,,,,,,,A,7,,
'32000050,SOFTENER COMFORT 20L.( 8851932090742 ),น้ำยาปรับผ้านุ่ม คอมฟอร์ทสีฟ้า 20ล.,GAL,,,,,,,A,7,,
'32000055,"ALUMINUM FOIL 18 ""1*37.5D/(857645)",อลูมิเนียมฟอย์ด ยี่ห้อไดมอนด์ 18 นิ้ว1*37.5D/(857645),ROLL,,,,,,,A,7,,
'32000056,BAYGON # LAVENDER SIZE 600 ML. ( 1*3) CAN )178465,สเปรย์กำจัดยุง มด แมลงสาบกลิ่นลาเวนเดอร์ไบกอน 600 มล.,Pack,,,,,,,A,7,,
'32000057,BROOM COBWEB,ไม้กวาดหยากไย่,PCS,,,,,,,A,7,,
'32000058,BROOM NYLON-SHORT HANDLE,ไม้กวาดไนลอน-ด้ามสั้น,PCS,,,,,,,A,7,,
'32000060,BRUSH NYLON 1.8 M.,แปรงถูพื้นไนลอน 1.8M.,PCS,,,,,,,A,7,,
'32000064,DETTOL HYGIENIC 750 ML.(177620),น้ำยาฆ่าเชื้อ เดทตอลไฮยีน 750 มล.(177620),BTL,,,,,,,A,7,,
'32000077,HYTER COLOUR(PINK) 3000 ML/814152,ผลิตภัณฑ์ขจัดคราบชนิดน้ำ ไฮเตอร์คัลเลอร์(ชมพู) 3000ML./814152,BTL,,,,,,,A,7,,
'32000079,MAGICLEAN FLOOR CLEANER-BERRYAROMA 5200ML./169452,น้ำยาทำความสะอาดพื้นมาจิคลีน(เบอรี่อโรมา) 5200 มล.,GAL,,,,,,,A,7,,
'32000081,"MOP WET 8"" (SPARE)","อะไหล่ผ้าม็อบถูพื้น 8""",PCS,,,,,,,A,7,,
'32000085,NYLON BRUSH WITH HANDLE,แปรงถูพื้นไนลอน ด้ามพลาสติกยาว,PCS,,,,,,,A,7,,
'32000088,SHIELDTOX ODOURLESS 600 ML 8850360091437,ชิลด์ท็อกซ์ยากำจัดยุงและแมลงไร้กลิ่น 600 มล,BTL,,,,,,,A,7,,
'32000090,"SPARE DUST MOP 18""",อะไหล่ผ้าม็อบดันฝุ่น 18 นิ้ว,PCS,,,,,,,A,7,,
'32000091,"SPARE PART FOR FLOOR SQUEEGEE 24""",อะไหล่ยางปาดน้ำพื้น 24 นิ้ว,PCS,,,,,,,A,7,,
'32000092,"SPARE PART FOR WET MOP 8""","อะไหล่ผ้าม๊อบ 8"" (400 กรัม)",PCS,,,,,,,A,7,,
'32000093,SPARE RUBBER SQUEEGEE  ( SIZE 105 CM.),อะไหล่ยางกรีดกระจก(ขนาด 105 ซม.),PCS,,,,,,,A,7,,
'32000094,SPRAY GLADE AIR(MORNING FRESSNESS) 320 ML.,สเปรย์ปรับอากาศเกลดกลิ่น(มอร์นิ่งเฟรชเนส) 320 มล.,CAN,,,,,,,A,7,,
'32000095,SUN LIGHT 150 ML 1*6/PACK (823682),น้ำยาล้างจาน ซันไลต์ขนาด 150 มล.1*6/แพ็ค/(823682),PACK,,,,,,,A,7,,
'32000097,WASHING POWDER OMO 1700/1800G.(829664),ผงซักฟอก ยี่ห้อโอโมขนาด 1700/1800ก.(829664),BAG,,,,,,,A,7,,
'32000098,"WIPER WITH LONG HANDLE - 12"" (688207)",ไม้ปาดน้ำ 12 นิ้ว (688207),PCS,,,,,,,A,7,,
'32000099,แปรงทองเหลือง ด้ามยาว,แปรงทองเหลือง ด้ามยาว,PCS,,,,,,,A,7,,
'32000100,แปรงทองเหลืองรูปไข่,แปรงทองเหลืองรูปไข่,PCS,,,,,,,A,7,,
'32000101,ยาจุดกันยุงกลิ่นดอกลาเวนเดอร์ ไบกอน  12 ขด/กล่อง,ยาจุดกันยุงกลิ่นดอกลาเวนเดอร์ ไบกอน  12 ขด/กล่อง,BTL,,,,,,,A,7,,
'32000102,ผลิตภัณฑ์ไล่ยุงชนิดน้ำแบบเติม(30วัน)ไบกอน P30,ผลิตภัณฑ์ไล่ยุงชนิดน้ำแบบเติม(30วัน)ไบกอน P30,BTL,,,,,,,A,7,,
'32000103,สเปรย์กำจัดยุงกลิ่นดิเลมอนนีน ไบกอน 600 มล.,สเปรย์กำจัดยุงกลิ่นดิเลมอนนีน ไบกอน 600 มล.,BTL,,,,,,,A,7,,
'32000104,ไม้ม๊อบถูพื้น 10 นิ้ว,ไม้ม๊อบถูพื้น 10 นิ้ว,PCS,,,,,,,A,7,,
'32000106,น้ำยาสำหรับเช็ดกระจก ยี่ห้อคิงสเตล่า(ฟ้า) 5200 มล.,น้ำยาสำหรับเช็ดกระจก ยี่ห้อคิงสเตล่า(ฟ้า) 5200 มล.,GAL,,,,,,,A,7,,
'32000107,ผงซักฟอก เปาเอ็มวอชซอฟท์ 3 000ก.(21203),ผงซักฟอก เปาเอ็มวอชซอฟท์ 3 000ก.(21203),BAG,,,,,,,A,7,,
'32000110,ฟองน้ำพร้อมใยขัด 3M (1x12)/(106570),ฟองน้ำพร้อมใยขัด 3M (1x12)/(106570),PACK,,,,,,,A,7,,
