SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'12000018,LEMON FRUIT BIG ( NO SEED ),มะนาวใหญ่ไร้เม็ด,KG,,,55,,,,N,0,,
'12000025,PAPAYA RAW,มะละกอดิบ,KG,,,20,,,,N,0,,
'12000040,AVOCADO(EACH),อโวคาโด(ลูก),PCS,,,65,,,,N,0,,
'12010001,BABY CORN,ข้าวโพดอ่อน,KG,,,38,,,,N,0,,
'12010002,BANANA FLOWER,หัวปลี,EA,,,15,,,,N,0,,
'12010003,BANANA LEAVE,ใบตอง,KG,,,25,,,,N,0,,
'12010004,BEANS WING,ถั่วพลู,KG,,,85,,,,N,0,,
'12010005,BEANSPROUTS CLEANED,ถั่วงอก,KG,,,15,,,,N,0,,
'12010006,BELL PEPPER GREEN,พริกยักษ์เขียว,KG,,,80,,,,N,0,,
'12010007,BELL PEPPER RED,พริกยักษ์แดง,KG,,,90,,,,N,0,,
'12010008,BELL PEPPER YELLOW,พริกยักษ์เหลือง,KG,,,100,,,,N,0,,
'12010009,BIRD CHILI (233298),พริกขี้หนูสวนไม่เด็ด(233298),KG,,,220,,,,N,0,,
'12010010,CARROT,แครอท,KG,,,20,,,,N,0,,
'12010011,CELERY IMPORT,คื่นช่ายฝรั่ง,SET,,,58,,,,N,0,,
'12010012,CHAPOO LEAVES,ใบชะพลู,KG,,,60,,,,N,0,,
'12010013,CHILI BRID RED,พริกขี้หนูแดง,KG,,,45,,,,N,0,,
'12010014,CHILI BRID RED (CUT),พริกขี้หนูแดงเด็ด,KG,,,70,,,,N,0,,
'12010015,CHILI DRY LARGE,พริกแห้งใหญ่,KG,,,150,,,,N,0,,
'12010016,CHILI DRY SMALL,พริกแห้งเล็ก,KG,,,200,,,,N,0,,
'12010017,CHILLI FINGER ( GREEN ),พริกชี้ฟ้าเขียว,KG,,,60,,,,N,0,,
'12010018,CHILLI FINGER ( RED ),พริกชี้ฟ้าแดง,KG,,,60,,,,N,0,,
'12010019,CHINESE MORNING GLORY,ผักบุ้งจีน,KG,,,25,,,,N,0,,
'12010020,CHINESES CHIVES,กุ้ยฉ่ายเขียว(ต้น),KG,,,60,,,,N,0,,
'12010021,CHOA PRAYA EGGPLANT,มะเขือเปราะ,KG,,,25,,,,N,0,,
'12010022,CORN ON THE COB,ข้าวโพดฝัก(ปอกเปลือก),KG,,,28,,,,N,0,,
'12010023,CUCUMBER LARGE,แตงกวาใหญ่,KG,,,20,,,,N,0,,
'12010024,CUCUMBER SMALL,แตงกวาเล็ก,KG,,,30,,,,N,0,,
'12010025,DILL LEAVES,ผักชีลาว,KG,,,55,,,,N,0,,
'12010026,EGG PLANT GREEN LONG,มะเขือยาวเขียว,KG,,,35,,,,N,0,,
'12010027,FRENCH BEAN,ถั่วแขก,KG,,,38,,,,N,0,,
'12010028,PEPPER CORN,พริกไทยอ่อน,KG,,,130,,,,N,0,,
'12010029,ROSEMARY LEAF (31538),ใบโรสแมรี่สด(31538),KG,,,500,,,,N,0,,
'12010030,GALANGA WHOLE YOUNG(323648),ข่าอ่อน(323648),KG,,,40,,,,N,0,,
'12010031,GINGER OLD,ขิงแก่,KG,,,60,,,,N,0,,
'12010032,GINGER SLICED,ขิงฝอย,KG,,,65,,,,N,0,,
'12010033,GREEN OAK 0.5 KG.,กรีนโอ๊ด 0.5 กก.,KG,,,110,,,,N,0,,
'12010034,HOT BASIL,กระเพรา,KG,,,40,,,,N,0,,
'12010035,KAFFIR LIME LEAVE,ใบมะกรูด,KG,,,50,,,,N,0,,
'12010036,KALE,คะน้า,KG,,,33,,,,N,0,,
'12010037,KAMIN FRESH,ขมิ้นสด,KG,,,50,,,,N,0,,
'12010038,KWANG TUNG,กวางตุ้ง,KG,,,30,,,,N,0,,
'12010039,LEEK ( TON KRA THIAM ),ต้นกระเทียม,KG,,,85,,,,N,0,,
'12010040,LEMONGRASS,ตะไคร้,PCS,,,1,,,,N,0,,
'12010041,LETTUCE GREEN,กาดหอมสีเขียว,KG,,,58,,,,N,0,,
'12010042,LETTUCE ICEBERG,กาดแก้ว,KG,,,70,,,,N,0,,
'12010043,LOCAL PEPPER GREEN,พริกหยวก,KG,,,60,,,,N,0,,
'12010044,LONG PARSLES,ชีใบเลื่อย,KG,,,28,,,,N,0,,
'12010045,LUFFA,บวบเหลี่ยม,KG,,,28,,,,N,0,,
'12010046,MANGLUK LEAVE,ใบแมงลัก,KG,,,60,,,,N,0,,
'12010047,MARROW VAGETABLE,ฟักเขียว,KG,,,15,,,,N,0,,
'12010048,MINT LEAF,สาระแหน่,KG,,,105,,,,N,0,,
'12010049,MORNING GLORY,ผักบุ้งไทย,KG,,,25,,,,N,0,,
'12010051,MUSHROOM JELLY,เห็ดหูหนูสด,KG,,,55,,,,N,0,,
'12010052,MUSHROOM OYSTER,เห็ดนางฟ้า,KG,,,80,,,,N,0,,
'12010053,MUSHROOM SHIMEJI BLACK,เห็ดชิเมจิดำ,PACK,,,15,,,,N,0,,
'12010054,MUSHROOM SHIMEJI WHITE,เห็ดชิเมจิขาว,PACK,,,15,,,,N,0,,
'12010055,MUSHROOM STRAW (324038),เห็ดฟาง(324038),KG,,,150,,,,N,0,,
'12010056,MUSHROOM WHITE,เห็ดหูหนูขาว,KG,,,350,,,,N,0,,
'12010057,ONION LARGE,หอมใหญ่,KG,,,28,,,,N,0,,
'12010058,ONION SPRING,ต้นหอม,KG,,,60,,,,N,0,,
'12010059,PAK MEANG,ผักเหมียง,KG,,,110,,,,N,0,,
'12010060,POTATO LARGE,มันฝรั่งใหญ่,KG,,,33,,,,N,0,,
'12010061,POTATO SWEET,มันเทศ,KG,,,30,,,,N,0,,
'12010062,PUMPKIN LARGE,ฟักทองใหญ่,KG,,,22,,,,N,0,,
'12010063,RA LEAF,ใบรา,KG,,,65,,,,N,0,,
'12010064,RADICHIO,เรดิชิโอ้,KG,,,145,,,,N,0,,
'12010065,RED CORAL,เรดโครอล,KG,,,130,,,,N,0,,
'12010066,RED OAK 0.5 KG.,เรดโอ๊ด 0.5 กก.,KG,,,110,,,,N,0,,
'12010067,RHY ZOME,กระชาย,KG,,,60,,,,N,0,,
'12010068,ROMAIN COS CHINESE,โรแมนคอส,KG,,,65,,,,N,0,,
'12010069,SMALL LOTUS LEAF,ใบบัวบก,KG,,,60,,,,N,0,,
'12010070,STRING BEANS,ถั่วฝักยาว,KG,,,45,,,,N,0,,
'12010071,SWEET BASIL,โหระพา,KG,,,40,,,,N,0,,
'12010075,THAI PARSLEY,ผักชีไทย,KG,,,130,,,,N,0,,
'12010076,TOMATO QUEEN,มะเขือเทศราชินี,KG,,,70,,,,N,0,,
'12010078,TOMATO SEDA,มะเขือเทศสีดา,KG,,,50,,,,N,0,,
'12010079,TURNIP DRIED FLAKE,ไชโป๊วสับ,KG,,,55,,,,N,0,,
'12010080,TURNIP FLAKE,ไชโป๊วหวานฝอย,KG,,,55,,,,N,0,,
'12010081,TURNIP WHITE,หัวไชเท้า,KG,,,25,,,,N,0,,
'12010082,WHITE LETTUCE,กาดขาว,KG,,,27,,,,N,0,,
'12010083,YOD MUI,ยอดหมุย,KG,,,12,,,,N,0,,
'12010084,YOD MUN POO,ยอดมันปู,BUNDLE,,,12,,,,N,0,,
'12010085,ZUCHINI,ซูกินีเขียว,KG,,,65,,,,N,0,,
'12010086,กระเทียมไทยกลีบ,กระเทียมไทยกลีบ,KG,,,85,,,,N,0,,
'12010088,คะน้าฮ่องกง,คะน้าฮ่องกง,KG,,,100,,,,N,0,,
'12010090,SHALLOT,หอมแดงไทย,KG,,,120,,,,N,0,,
'12010091,ASPARAGUS GREEN 1KG.,หน่อไม้ฝรั่งสด 1 กก.,KG,,,170,,,,N,0,,
'12010092,BROCCOLI,บล็อคโคลี่,KG,,,50,,,,N,0,,
'12010093,CAULIFIOWER EXPORT,ดอกกะหล่ำนอก,KG,,,60,,,,N,0,,
'12010097,FRILLICE ICEBERG,ฟิลเลย์ไอซ์เบิร์ก,KG,,,115,,,,N,0,,
'12010098,GARLIC LARGE & TO LEVER OUT,กระเทียมใหญ่(แกะ),KG,,,70,,,,N,0,,
'12010101,PALM HEAD,ยอดมะพร้าว(หัว),KG,,,60,,,,N,0,,
'12010102,PARSLEY FRENCH,ผักชีฝรั่ง/พาสเลย์,KG,,,100,,,,N,0,,
'12010106,SNOW PEA,ถั่วลันเตา,KG,,,125,,,,N,0,,
'12010107,TAM LUNG,ตำลึง(เด็ด),KG,,,70,,,,N,0,,
'12010109,TOMATO BIG BEEF,มะเขือเทศเนื้อ,KG,,,48,,,,N,0,,
'12010110,EGG PLANT SMALL ( SPLIT ),มะเขือพวง(เด็ด),KG,,,98,,,,N,0,,
'12010113,BAMBOO YELLOW FLAK,หน่อไม้เหลืองฝอย,KG,,,50,,,,N,0,,
'12010114,CABBAGE  WHITE,กะหล่ำปลีขาว,KG,,,25,,,,N,0,,
'12010115,CUCUMBER JAPANESE,แตงกวาญี่ปุ่น,KG,,,65,,,,N,0,,
'12010116,ACAEIAL INSUAVIS,ชะอม,BUNDLE,,,30,,,,N,0,,
'12010118,BABY CARROT,เบบี้เเครอท,KG,,,95,,,,N,0,,
'12010121,BAMBOO SHOOTS PICKLED KG.,หน่อไม้ดอง,KG,,,38,,,,N,0,,
'12010122,BEETROOT,บีทรูท,KG,,,45,,,,N,0,,
'12010123,BITTER CUCUMBER,มะระ,KG,,,35,,,,N,0,,
'12010124,BUTTER HEAD,บัตเตอร์เฮด,KG,,,90,,,,N,0,,
'12010136,JAPANESE PUMPKIN,ฟักทองญี่ปุ่น,KG,,,80,,,,N,0,,
'12010138,KANANG,แขนง,KG,,,38,,,,N,0,,
'12010141,MANGO CREST,ยอดมะม่วงหิมพานต์,BUNDLE,,,10,,,,N,0,,
'12010144,MUSHROOM FRESH SHITAKE 1KG.,เห็ดหอมสด 1 กก.,KG,,,140,,,,N,0,,
'12010145,OKRA,กระเจี๊ยบเขียว,KG,,,38,,,,N,0,,
'12010146,ONION SPRING FLOWER,ดอกหอม,KG,,,110,,,,N,0,,
'12010148,PICKLE NUT BIG HEADS,ถั่วดองหัวโต,KG,,,150,,,,N,0,,
'12010149,PICKLED GINGE,ขิงดอง,BTL,,,160,,,,N,0,,
'12010151,RED RADISH,เรดิช,KG,,,75,,,,N,0,,
