SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'12010040,LEMONGRASS,ตะไคร้,PCS,,,1.5,,,,N,0,,
'12000017,LEMON FRUIT,มะนาวแป้น(ผิวสวยๆ),PCS,,,2,,,,N,0,,
'12010100,KAFFIRLIME,ลูกมะกรูด,PCS,,,4,,,,N,0,,
'12010141,MANGO CREST,ยอดมะม่วงหิมพานต์,BUNDLE,,,10,,,,N,0,,
'12010084,YOD MUN POO,ยอดมันปู,BUNDLE,,,12,,,,N,0,,
'12010166,ยอดกระถิน,ยอดกระถิน,BUNDLE,,,12,,,,N,0,,
'12000025,PAPAYA RAW,มะละกอดิบ,KG,,,13,,,,N,0,,
'12010002,BANANA FLOWER,หัวปลี,EA,,,15,,,,N,0,,
'12010047,MARROW VAGETABLE,ฟักเขียว,KG,,,15,,,,N,0,,
'12010053,MUSHROOM SHIMEJI BLACK,เห็ดชิเมจิดำ,PACK,,,15,,,,N,0,,
'12010054,MUSHROOM SHIMEJI WHITE,เห็ดชิเมจิขาว,PACK,,,15,,,,N,0,,
'12000001,APPLE GREEN,แอปเปิ้ลเขียว(6 ลูก/กก.),PCS,,,18,,,,N,0,,
'12000002,APPLE RED,แอปเปิ้ลแดง(6 ลูก/กก.),PCS,,,18,,,,N,0,,
'12010005,BEANSPROUTS CLEANED,ถั่วงอก,KG,,,18,,,,N,0,,
'12010010,CARROT,แครอท,KG,,,18,,,,N,0,,
'12010143,MUSHROOM ENOKI(KHEM THONG)(200G./PACK ),เห็ดเข็มทอง(200G./PACK ),PACK,,,18,,,,N,0,,
'12010062,PUMPKIN LARGE,ฟักทองใหญ่,KG,,,20,,,,N,0,,
'12010129,CORN ON THE NO COB,ข้าวโพดฝัก(ไม่ปอกเปลือก),KG,,,20,,,,N,0,,
'12010023,CUCUMBER LARGE,แตงกวาใหญ่,KG,,,21,,,,N,0,,
